,price,propertyType,size,exterior,rooms,bathrooms,municipality,distance,status,floor,district,hasLift
285,750.0,flat,70.0,True,2,1,Alcorcón,12614,good,4,Centro,False
286,700.0,flat,36.0,True,2,1,Pozuelo de Alarcón,9525,good,3,Zona Pueblo,False
287,695.0,flat,58.0,False,1,1,Madrid,5659,good,1,Carabanchel,True
288,710.0,flat,66.0,True,1,1,Arganda,25013,good,2,Centro,True
289,620.0,flat,80.0,True,2,1,Bustarviejo,49280,good,2,desconocido,False
290,700.0,flat,80.0,True,3,1,Collado Mediano,40907,good,1,desconocido,False
291,715.0,flat,89.0,True,3,1,Chinchón,39316,good,bj,desconocido,False
292,750.0,flat,50.0,True,1,1,Madrid,11203,good,1,Villa de Vallecas,True
293,750.0,flat,45.0,True,1,1,Madrid,8426,good,2,Hortaleza,True
294,550.0,studio,25.0,False,0,1,Madrid,4650,good,bj,Tetuán,False
295,730.0,flat,60.0,True,1,1,Colmenar Viejo,27803,good,desconocido,Centro,False
296,750.0,penthouse,46.0,True,2,1,Madrid,3889,good,4,Puente de Vallecas,True
297,700.0,flat,45.0,True,1,1,Coslada,13887,good,bj,Ciudad 70,False
298,680.0,flat,85.0,True,2,1,Coslada,13303,renew,bj,Valleaguado - La Cañada,True
299,600.0,flat,28.0,False,1,1,Madrid,4418,good,4,Tetuán,False
300,750.0,flat,80.0,True,2,1,Colmenarejo,30995,good,1,desconocido,False
301,700.0,flat,62.0,True,1,1,Alcorcón,13040,good,2,Centro,True
302,690.0,flat,77.0,True,2,1,Madrid,7283,good,bj,Carabanchel,True
303,700.0,flat,50.0,True,1,1,Madrid,7844,good,bj,Fuencarral,False
304,750.0,flat,87.0,True,2,1,Coslada,13773,good,5,Ciudad 70,True
305,735.0,flat,51.0,True,1,1,Getafe,14023,good,4,Buenavista,True
306,700.0,flat,80.0,True,3,1,Móstoles,17777,good,5,Suroeste,True
307,725.0,flat,75.0,True,3,1,Fuenlabrada,16247,good,desconocido,Centro,False
