,price,propertyType,exterior,rooms,bathrooms,municipality,status,floor,hasLift,size_MinMax,distance_MinMax,outliers_ifo_0.01_100,outliers_ifo_0.01_400,outliers_ifo_0.01_1000,outliers_ifo_0.01_2000,outliers_ifo_0.05_100,outliers_ifo_0.05_400,outliers_ifo_0.05_1000,outliers_ifo_0.05_2000,outliers_ifo_0.1_100,outliers_ifo_0.1_400,outliers_ifo_0.1_1000,outliers_ifo_0.1_2000
99,735.0,studio,True,0,1,Madrid,good,1,True,0.1595744680851063,0.1933065073653236,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,600.0,flat,True,1,1,Daganzo de Arriba,desconocido,desconocido,desconocido,0.3723404255319149,0.4432666229415206,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101,750.0,flat,True,3,1,Madrid,good,desconocido,False,0.5851063829787234,0.1436371049226242,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
102,600.0,penthouse,True,1,1,Madrid,good,5,True,0.0531914893617021,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0
103,705.0,flat,True,1,1,Madrid,good,4,True,0.2978723404255319,0.2001134490277064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
104,650.0,flat,True,2,1,Guadarrama,good,3,False,0.4468085106382978,0.7630510697888785,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
105,700.0,duplex,True,2,1,Cobeña,good,1,False,0.4361702127659574,0.4207186286848776,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
106,650.0,studio,False,0,1,Madrid,good,en,True,0.2127659574468085,0.0869480438905925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
107,700.0,flat,True,1,1,Madrid,good,bj,False,0.2127659574468085,0.0512825058053994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
108,730.0,flat,True,2,1,Madrid,good,4,False,0.3297872340425531,0.1167106872529381,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
